LruTailAge Rebalancing init. Cache Initialized. size: 256MB
alloc failed. 5427,1995316654945311394,4110336,9223372036854775807
alloc failed. 5429,13279137219040176899,4358144,9223372036854775807
alloc failed. 5543,6537398620270642343,4261888,9223372036854775807
alloc failed. 5634,7535320593265440640,1042,866759
alloc failed. 5977,7884077471051696701,3099,9223372036854775807
alloc failed. 7980,17131831842610556190,10561536,57117
alloc failed. 9326,3257418367005891449,20903936,20596665
alloc failed. 9993,4687918895062269190,1287,309757
alloc failed. 11165,17674300889631759842,11128832,30363
alloc failed. 12898,3191006501693433140,9840640,80138
alloc failed. 13128,16672980050982626454,310515712,342068
alloc failed. 14287,18369840077223718650,1642,9223372036854775807
alloc failed. 14652,7228964899418430989,5396,9223372036854775807
alloc failed. 14715,4136385192641748232,1496,58638
alloc failed. 15242,10481150864413936596,1240,92787
alloc failed. 16032,10118997902815013341,22810624,1762047
alloc failed. 16784,9351197414548267362,34054144,1612538
alloc failed. 17957,10660007414015541166,704,95573
alloc failed. 17957,10660007414015541166,704,871374
hit ratio:0.73402,time:18189
alloc failed. 18399,11704474052362857623,16635904,266690
alloc failed. 18507,4456551453469639314,31105024,13954030
alloc failed. 18794,1168119602072613770,24094720,110974
alloc failed. 18795,1168119602072613770,24094720,110987
alloc failed. 18814,3615145008078122263,43276288,112063
alloc failed. 18847,3615145008078122263,43276288,116363
alloc failed. 18875,13283267862312705983,52404224,113245
alloc failed. 18904,13283267862312705983,52404224,134692
alloc failed. 18920,7571124875949251722,28153856,9223372036854775807
alloc failed. 18979,17534639763522352463,15923200,115310
alloc failed. 18980,17534639763522352463,15923200,117460
alloc failed. 18998,678704729110483522,47032320,116071
alloc failed. 19003,678704729110483522,47032320,1339140
alloc failed. 19011,3615145008078122263,43276288,116563
alloc failed. 19019,3615145008078122263,43276288,9223372036854775807
alloc failed. 19047,17534639763522352463,15923200,120595
alloc failed. 19146,17534639763522352463,15923200,21273738
alloc failed. 19153,13618298426672138895,14659584,136256
alloc failed. 19342,14212214292848465045,20215808,12598361
alloc failed. 19428,1292603030144017616,57815040,288930
alloc failed. 19528,13283267862312705983,52404224,137732
alloc failed. 19546,4523722581742489596,13355008,18498020
alloc failed. 19562,13618298426672138895,14659584,20731688
alloc failed. 19567,3516708286837485582,55140352,1421376
alloc failed. 19598,13283267862312705983,52404224,1102767
alloc failed. 19742,8596418917811571144,438493184,149063
alloc failed. 19763,3516130950609077884,44179456,182261
alloc failed. 19872,8596418917811571144,438493184,158847
alloc failed. 19949,15960342222264467022,18358272,152827
alloc failed. 19956,15960342222264467022,18358272,153217
alloc failed. 19966,15960342222264467022,18358272,235422
alloc failed. 20061,14418139917491533242,698,703721
alloc failed. 20086,6658885284676605804,59932672,7427358
alloc failed. 20096,8596418917811571144,438493184,164607
alloc failed. 20098,17044241776738802726,20903936,9223372036854775807
alloc failed. 20236,8596418917811571144,438493184,179963
alloc failed. 20294,6514673169703104264,44369920,9370962
alloc failed. 20301,8590896555185097547,620191744,176091
alloc failed. 20361,5606846890596101058,23787520,215874
alloc failed. 20393,7413373635665792176,51699712,172346
alloc failed. 20419,7413373635665792176,51699712,567220
alloc failed. 20510,8590896555185097547,620191744,26033157
alloc failed. 20595,12927673687017468944,48470016,241674
alloc failed. 20621,8596418917811571144,438493184,212352
alloc failed. 20682,3516130950609077884,44179456,190866
alloc failed. 20784,9506820336567071032,591052800,275913
alloc failed. 20852,3516130950609077884,44179456,208387
hit ratio:0.686615,time:21021
alloc failed. 21115,13625304735295455082,16107520,1867802
alloc failed. 21175,3516130950609077884,44179456,210153
alloc failed. 21209,3516130950609077884,44179456,2115158
alloc failed. 21248,8596418917811571144,438493184,3619256
alloc failed. 21307,5606846890596101058,23787520,216185
alloc failed. 21313,5606846890596101058,23787520,357523
alloc failed. 21500,7772116986147642388,687,85212708
alloc failed. 21535,11316832190035557040,631,78893407
alloc failed. 21537,7777083126973808257,650,37350747
alloc failed. 21759,12927673687017468944,48470016,360455
alloc failed. 22017,8410809648726838132,19902464,85758334
alloc failed. 22269,9506820336567071032,591052800,392549
alloc failed. 22301,4743066240208984274,74463232,304657
alloc failed. 22350,9039314240340858830,45172736,9223372036854775807
alloc failed. 22463,1292603030144017616,57815040,497503
hit ratio:0.676813,time:22604
alloc failed. 22664,4743066240208984274,74463232,419970
alloc failed. 22807,1913270355123865770,79611904,316060
alloc failed. 22815,1913270355123865770,79611904,518801
alloc failed. 22930,15019899491455028383,27510784,52430680
alloc failed. 23002,13197717300715173035,29515776,330781
alloc failed. 23006,13197717300715173035,29515776,8662273
alloc failed. 23022,8535890980048069048,27326464,332209
alloc failed. 23027,8535890980048069048,27326464,9223372036854775807
alloc failed. 23149,16672980050982626454,310515712,749285
alloc failed. 23350,16060326145455917894,45336576,9223372036854775807
alloc failed. 23353,5606846890596101058,23787520,435160
alloc failed. 23379,6805884613536070016,64276480,360663
alloc failed. 23392,12927673687017468944,48470016,460373
alloc failed. 23394,6805884613536070016,64276480,361001
alloc failed. 23398,6805884613536070016,64276480,361026
alloc failed. 23411,6805884613536070016,64276480,636783
alloc failed. 23759,9506820336567071032,591052800,1231577
alloc failed. 23782,12877243553395385899,42473472,394692
alloc failed. 23835,12877243553395385899,42473472,401859
hit ratio:0.676453,time:23830
alloc failed. 23855,12877243553395385899,42473472,887574
alloc failed. 24048,4743066240208984274,74463232,9223372036854775807
alloc failed. 24121,12277979740740274857,102148096,443070
alloc failed. 24206,9648548326853514885,59781120,434097
alloc failed. 24319,12277979740740274857,102148096,444402
alloc failed. 24334,12277979740740274857,102148096,34184323
alloc failed. 24454,9648548326853514885,59781120,455909
alloc failed. 24455,9648548326853514885,59781120,455919
alloc failed. 24455,9648548326853514885,59781120,456085
alloc failed. 24456,9648548326853514885,59781120,456509
alloc failed. 24461,9648548326853514885,59781120,468349
alloc failed. 24496,12927673687017468944,48470016,811567
alloc failed. 24578,9648548326853514885,59781120,468365
alloc failed. 24578,9648548326853514885,59781120,468374
alloc failed. 24579,9648548326853514885,59781120,468478
alloc failed. 24579,9648548326853514885,59781120,468685
alloc failed. 24581,9648548326853514885,59781120,468693
alloc failed. 24581,9648548326853514885,59781120,468716
alloc failed. 24581,9648548326853514885,59781120,468742
alloc failed. 24582,9648548326853514885,59781120,468901
alloc failed. 24583,9648548326853514885,59781120,468951
alloc failed. 24584,9648548326853514885,59781120,469002
alloc failed. 24584,9648548326853514885,59781120,469062
alloc failed. 24585,9648548326853514885,59781120,469214
alloc failed. 24586,9648548326853514885,59781120,525675
alloc failed. 24877,1292603030144017616,57815040,500936
hit ratio:0.676796,time:24897
alloc failed. 24912,1292603030144017616,57815040,636107
alloc failed. 25106,1913270355123865770,79611904,571552
alloc failed. 25183,9648548326853514885,59781120,525689
alloc failed. 25186,9648548326853514885,59781120,526050
alloc failed. 25188,9648548326853514885,59781120,526089
alloc failed. 25188,9648548326853514885,59781120,526174
alloc failed. 25189,9648548326853514885,59781120,526295
alloc failed. 25190,9648548326853514885,59781120,526318
alloc failed. 25191,9648548326853514885,59781120,533206
alloc failed. 25263,9648548326853514885,59781120,536091
alloc failed. 25293,9648548326853514885,59781120,536092
alloc failed. 25296,9648548326853514885,59781120,536732
alloc failed. 25299,9648548326853514885,59781120,536795
alloc failed. 25300,9648548326853514885,59781120,536808
alloc failed. 25302,9648548326853514885,59781120,537055
alloc failed. 25303,9648548326853514885,59781120,540205
alloc failed. 25333,9648548326853514885,59781120,540207
alloc failed. 25414,9648548326853514885,59781120,548260
alloc failed. 25448,9648548326853514885,59781120,551428
alloc failed. 25448,9648548326853514885,59781120,551589
alloc failed. 25449,9648548326853514885,59781120,551762
alloc failed. 25451,9648548326853514885,59781120,551796
alloc failed. 25451,9648548326853514885,59781120,551815
alloc failed. 25451,9648548326853514885,59781120,551904
alloc failed. 25452,9648548326853514885,59781120,553248
alloc failed. 25468,9648548326853514885,59781120,553254
alloc failed. 25469,9648548326853514885,59781120,553452
alloc failed. 25470,9648548326853514885,59781120,553526
alloc failed. 25471,9648548326853514885,59781120,553528
alloc failed. 25471,9648548326853514885,59781120,553603
alloc failed. 25471,9648548326853514885,59781120,553604
alloc failed. 25473,9648548326853514885,59781120,553752
alloc failed. 25473,9648548326853514885,59781120,553768
alloc failed. 25474,9648548326853514885,59781120,554056
alloc failed. 25476,9648548326853514885,59781120,554111
alloc failed. 25477,9648548326853514885,59781120,554182
alloc failed. 25480,9648548326853514885,59781120,556120
alloc failed. 25502,9648548326853514885,59781120,556121
alloc failed. 25502,9648548326853514885,59781120,556172
alloc failed. 25503,9648548326853514885,59781120,556179
alloc failed. 25503,9648548326853514885,59781120,556216
alloc failed. 25503,9648548326853514885,59781120,556285
alloc failed. 25504,9648548326853514885,59781120,556297
alloc failed. 25504,9648548326853514885,59781120,556335
alloc failed. 25504,9648548326853514885,59781120,556528
alloc failed. 25506,9648548326853514885,59781120,556578
alloc failed. 25506,9648548326853514885,59781120,557041
alloc failed. 25510,9648548326853514885,59781120,557161
alloc failed. 25512,9648548326853514885,59781120,558085
alloc failed. 25522,9648548326853514885,59781120,558095
alloc failed. 25522,9648548326853514885,59781120,558119
alloc failed. 25522,9648548326853514885,59781120,558130
alloc failed. 25523,9648548326853514885,59781120,558142
alloc failed. 25523,9648548326853514885,59781120,558287
alloc failed. 25524,9648548326853514885,59781120,558330
alloc failed. 25525,9648548326853514885,59781120,558370
alloc failed. 25525,9648548326853514885,59781120,558429
alloc failed. 25526,9648548326853514885,59781120,558438
alloc failed. 25526,9648548326853514885,59781120,558445
alloc failed. 25528,9648548326853514885,59781120,558668
alloc failed. 25529,9648548326853514885,59781120,563468
alloc failed. 25578,9648548326853514885,59781120,563469
alloc failed. 25611,7413373635665792176,51699712,567502
alloc failed. 25611,9648548326853514885,59781120,567257
alloc failed. 25614,7413373635665792176,51699712,567762
alloc failed. 25615,9648548326853514885,59781120,567670
alloc failed. 25615,9648548326853514885,59781120,567742
alloc failed. 25615,9648548326853514885,59781120,568000
alloc failed. 25616,7413373635665792176,51699712,572410
alloc failed. 25618,9648548326853514885,59781120,568044
alloc failed. 25618,9648548326853514885,59781120,568052
alloc failed. 25618,9648548326853514885,59781120,568237
alloc failed. 25619,9648548326853514885,59781120,577286
alloc failed. 25652,1913270355123865770,79611904,1226564
alloc failed. 25661,7413373635665792176,51699712,579358
alloc failed. 25712,9648548326853514885,59781120,577288
alloc failed. 25713,9648548326853514885,59781120,577831
alloc failed. 25717,9648548326853514885,59781120,579113
alloc failed. 25730,9648548326853514885,59781120,579172
alloc failed. 25731,9648548326853514885,59781120,579482
alloc failed. 25732,7413373635665792176,51699712,583930
alloc failed. 25734,9648548326853514885,59781120,579530
