Eviction Algo,total_attempts,StrtgyTriggered,TriggeredByFailAlloc,FreeAllocAbvThrsld,FreeMemNotAlloc,vPTA < rTA,improv. < minTailAgeDifference,improv. < diffRatio * vPTA,Final Miss Ratio,minSlabs,tailAgeDifferenceRatio,minTailAgeDifference,numSlabsFreeMem,slabProjectionLength
Lru,407,0,8,0,0,0,398,6,0.35761699999999996,1,0.200000,50,3,1
Lru,241,0,8,0,0,0,232,0,0.41145299999999996,1,0.250000,130,1,2
Lru,337,0,8,0,0,0,328,4,0.359468,3,0.200000,10,5,5
Lru,355,0,8,0,0,0,346,5,0.387648,2,0.100000,90,3,5
Lru,203,0,8,0,0,0,194,1,0.41141300000000003,1,0.050000,30,3,1
Lru,120,0,8,0,0,0,111,0,0.41775399999999996,1,0.200000,100,5,4
Lru,115,0,8,0,0,0,2,0,0.336912,5,0.100000,80,3,3
Lru,121,0,8,0,0,0,2,0,0.33691099999999996,5,0.200000,90,2,2
Lru,117,0,8,0,0,0,108,0,0.38717,2,0.050000,120,5,3
Lru,117,0,8,0,0,0,108,1,0.38717599999999996,2,0.200000,20,2,3
Lru,447,0,8,0,0,0,438,13,0.338144,4,0.200000,90,1,1
Lru,111,0,8,0,0,0,102,0,0.33771300000000004,4,0.150000,70,3,4
Lru,125,0,8,0,0,0,116,0,0.38703299999999996,2,0.050000,130,5,1
Lru,237,0,8,0,0,0,228,3,0.41000000000000003,1,0.200000,130,2,2
Lru,362,0,7,0,0,0,9,0,0.31687200000000004,5,0.250000,130,4,5
Lru,357,0,7,0,0,0,8,0,0.316871,5,0.050000,60,4,1
Lru,125,0,8,0,0,0,116,0,0.41512400000000005,1,0.200000,110,5,3
Lru,315,0,8,0,0,0,306,5,0.33397699999999997,1,0.250000,20,3,4
Lru,124,0,8,0,0,0,115,0,0.387157,2,0.100000,120,4,5
Lru,394,0,8,0,0,0,385,4,0.40603100000000003,1,0.100000,110,2,1
Lru,140,0,8,0,0,0,131,0,0.41507099999999997,1,0.150000,10,2,2
Lru,114,0,8,0,0,0,105,2,0.338141,4,0.250000,80,4,2
Lru,144,0,8,0,0,0,3,0,0.33691099999999996,5,0.200000,10,3,4
Lru,143,0,8,0,0,0,134,1,0.35921000000000003,3,0.200000,80,4,3
Lru,131,0,8,0,0,0,122,0,0.387018,2,0.200000,70,5,1
Lru,453,0,8,0,0,0,444,12,0.333974,1,0.250000,90,5,4
Lru,488,0,8,0,0,0,479,9,0.387035,2,0.250000,50,3,2
Lru,123,0,8,0,0,0,114,0,0.41511699999999996,1,0.250000,70,4,3
Lru,131,0,8,0,0,0,122,0,0.415056,1,0.200000,80,1,2
Lru,126,0,8,0,0,0,117,0,0.360803,3,0.050000,80,2,5
Lru,114,0,8,0,0,0,105,0,0.33815399999999995,4,0.100000,50,4,2
Lru,120,0,8,0,0,0,2,0,0.336912,5,0.200000,10,2,4
Lru,118,0,8,0,0,0,109,0,0.33814500000000003,4,0.100000,120,4,4
Lru,124,0,8,0,0,0,115,0,0.415119,1,0.250000,40,2,3
Lru,148,0,8,0,0,0,139,1,0.36011800000000005,3,0.100000,70,3,5
Lru,330,0,8,0,0,0,321,4,0.359468,3,0.250000,120,5,5
Lru,128,0,8,0,0,0,2,0,0.336912,5,0.150000,80,2,5
Lru,119,0,8,0,0,0,2,0,0.336912,5,0.250000,100,3,1
Lru,113,0,7,0,0,0,105,0,0.338148,4,0.150000,80,3,5
Lru,430,0,7,0,0,0,422,8,0.359194,3,0.250000,10,2,1
Lru,119,0,8,0,0,0,110,0,0.33815399999999995,4,0.250000,130,4,3
Lru,143,0,8,0,0,0,134,0,0.33814599999999995,4,0.150000,80,4,3
Lru,132,0,8,0,0,0,123,0,0.38717599999999996,2,0.200000,110,5,5
Lru,270,0,7,0,0,0,5,0,0.31687200000000004,5,0.250000,30,4,5
Lru,116,0,8,0,0,0,107,1,0.33813800000000005,4,0.250000,60,4,1
Lru,119,0,8,0,0,0,110,3,0.360116,3,0.250000,100,1,1
Lru,374,0,8,0,0,0,365,0,0.415056,1,0.100000,90,5,4
Lru,130,0,8,0,0,0,121,3,0.38703299999999996,2,0.200000,80,5,1
Lru,125,0,8,0,0,0,2,0,0.336912,5,0.200000,70,4,3
Lru,122,0,8,0,0,0,2,0,0.33691099999999996,5,0.050000,40,5,4
Lru,128,0,9,0,0,0,118,0,0.33780600000000005,4,0.250000,70,5,4
Lru,118,0,8,0,0,0,109,1,0.360826,3,0.250000,20,3,5
Lru,116,0,8,0,0,0,107,0,0.33814,4,0.200000,60,2,5
Lru,122,0,8,0,0,0,113,3,0.387035,2,0.100000,20,1,4
Lru,125,0,8,0,0,0,3,0,0.33691000000000004,5,0.150000,60,1,1
Lru,284,0,8,0,0,0,6,0,0.33691000000000004,5,0.150000,40,1,3
Lru,122,0,8,0,0,0,113,0,0.36080599999999996,3,0.050000,120,1,4
Lru,117,0,8,0,0,0,2,0,0.33691000000000004,5,0.150000,60,5,5
Lru,132,0,8,0,0,0,123,2,0.38717,2,0.100000,20,2,5
Lru,362,0,8,0,0,0,353,6,0.338141,4,0.150000,10,3,3
Lru,149,0,8,0,0,0,140,0,0.387703,2,0.250000,70,4,5
Lru,434,0,8,0,0,0,425,11,0.38702800000000004,2,0.200000,50,4,2
Lru,121,0,8,0,0,0,112,2,0.35920799999999997,3,0.150000,10,5,1
Lru,280,0,7,0,0,0,272,5,0.33815300000000004,4,0.050000,70,1,5
Lru,114,0,8,0,0,0,2,1,0.336912,5,0.200000,100,1,5
Lru,119,0,7,0,0,0,111,1,0.337531,4,0.200000,100,3,2
Lru,135,0,8,0,0,0,126,1,0.360117,3,0.250000,20,5,3
Lru,126,0,7,0,0,0,118,1,0.359233,3,0.150000,50,4,2
Lru,128,0,8,0,0,0,119,1,0.33814500000000003,4,0.250000,70,2,5
Lru,139,0,9,0,0,0,129,1,0.386695,2,0.250000,80,2,4
Lru,126,0,8,0,0,0,117,0,0.41505000000000003,1,0.200000,130,4,5
Lru,118,0,8,0,0,0,109,1,0.38716399999999995,2,0.200000,120,5,1
Lru,114,0,8,0,0,0,105,1,0.338147,4,0.200000,40,2,5
Lru,113,0,8,0,0,0,104,1,0.33772500000000005,4,0.200000,110,4,4
Lru,114,0,8,0,0,0,2,0,0.33691000000000004,5,0.150000,20,1,1
Lru,405,0,8,0,0,0,9,0,0.33691000000000004,5,0.250000,50,3,1
Lru,123,0,8,0,0,0,114,0,0.41505000000000003,1,0.250000,90,4,4
Lru,127,0,8,0,0,0,118,1,0.41505899999999996,1,0.050000,50,4,5
Lru,121,0,8,0,0,0,112,2,0.38702400000000003,2,0.150000,90,2,4
Lru,145,0,8,0,0,0,2,0,0.33691099999999996,5,0.050000,100,5,4
Lru,429,0,8,0,0,0,420,13,0.338124,4,0.100000,80,4,4
Lru,123,0,9,0,0,0,2,0,0.33752499999999996,5,0.100000,110,3,2
Lru,119,0,8,0,0,0,110,0,0.33813899999999997,4,0.150000,50,4,4
Lru,123,0,8,0,0,0,114,1,0.33815300000000004,4,0.150000,40,5,2
Lru,124,0,8,0,0,0,115,0,0.387162,2,0.250000,40,2,3
Lru,160,0,10,0,0,0,0,0,0.33760599999999996,5,0.100000,80,1,2
Lru,154,0,8,0,0,0,145,0,0.41142500000000004,1,0.150000,40,1,1
Lru,117,0,8,0,0,0,108,0,0.387177,2,0.250000,30,5,1
Lru,154,0,8,0,0,0,145,4,0.387045,2,0.150000,100,3,1
Lru,143,0,8,0,0,0,134,2,0.387166,2,0.050000,20,4,3
Lru,120,0,8,0,0,0,111,2,0.338147,4,0.050000,40,4,2
Lru,144,0,8,0,0,0,135,0,0.337618,4,0.150000,90,2,2
Lru,123,0,7,0,0,0,115,2,0.337537,4,0.150000,90,4,3
Lru,348,0,8,0,0,1,8,1,0.33691400000000005,5,0.250000,110,4,5
Lru,115,0,7,0,0,0,107,1,0.338151,4,0.150000,110,4,1
Lru,189,0,9,0,0,0,179,1,0.41454,1,0.050000,50,1,4
Lru,116,0,8,0,0,0,2,0,0.336912,5,0.200000,120,4,4
Lru,185,0,9,0,0,0,175,3,0.382927,2,0.100000,90,2,1
Lru,469,0,8,0,0,0,460,4,0.418979,1,0.050000,30,2,4
